序号,来源图纸,类别,构件名称,规格,编号,轴位,区域,宽度/m,高度/m,左右接,X坐标,Y坐标,图层
1,X-HLP3-AR-B3-LAY-04-001,单扇防火门,单扇平开防火门_带观察窗 - FM乙1123-664855-4F,3500x2300(左) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,左,13500.0,3300.0,A-DOOR
2,X-HLP3-AR-B3-LAY-04-001,单扇防火门,单扇平开防火门_带观察窗 - FM乙1123-1076157-4F,3500x2300(左) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,左,44100.0,3300.0,A-DOOR
3,X-HLP3-AR-B3-LAY-04-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523_3H_-993714-4F,2365*965,,E/F轴,南区,2.37,0.96,,23650.0,30350.0,A-DOOR
4,X-HLP3-AR-B3-LAY-04-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523_3H_-993714-4F,2365*965,,E/F轴,南区,2.37,0.96,,27750.0,30350.0,A-DOOR
5,X-HLP3-AR-B3-LAY-04-001,卷帘门,墙外卷帘门 - FJLM4830_3H常开_-1003825-4F,1800x1000,,E/F轴,南区,1.80,1.00,,38400.0,30350.0,A-DOOR
6,X-HLP3-AR-B3-LAY-04-001,爬梯,钢爬梯 - 标准-751291-4F,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,14300.0,840.0,Q-SPCQ
7,X-HLP3-AR-B3-LAY-04-001,卷帘门,墙外卷帘门 - FJLM4830_3H_-847428-4F,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,3850.0,-250.0,A-DOOR
8,X-HLP3-AR-B3-LAY-04-001,楼板洞口,楼板洞口 - 楼板洞口-翻边100mm-951297-4F,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,41950.0,400.0,A-GENM
9,X-HLP3-AR-B3-LAY-04-001,楼板洞口,楼板洞口 - 楼板洞口-翻边100mm-1003749-4F,3500x2300(左) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,左,38850.0,2950.0,A-GENM
10,X-HLP3-AR-B3-LAY-04-001,楼板洞口,楼板洞口 - 楼板洞口-无翻边-1161634-4F,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,14850.0,400.0,A-GENM
11,X-HLP3-AR-B3-LAY-04-001,楼板洞口,楼板洞口 - 楼板洞口-无翻边-1161699-4F,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,35100.0,400.0,A-GENM
12,X-HLP3-AR-B3-LAY-04-001,挡烟垂壁,挡烟垂壁1 - 挡烟垂壁-1009375-4F,2365*965 DCC-4-2,DCC-4-2,C/D轴,南区,2.37,0.96,,21600.0,18345.98,M-EQPM
13,X-HLP3-AR-B3-LAY-04-001,挡烟垂壁,挡烟垂壁1 - 挡烟垂壁-1170658-4F,3500x2300(左) DCC-F*2,DCC-F,A轴,南区,3.50,2.30,左,21600.0,600.0,M-EQPM
14,X-HLP3-AR-B3-LAY-04-001,楼板洞口,楼板洞口 - 楼板洞口-无翻边-1077638-4F,1800x1000,,D/E轴,南区,1.80,1.00,,45800.0,25750.0,A-GENM
15,X-HLP3-AR-B3-LAY-04-001,楼板洞口,楼板洞口 - 楼板洞口-无翻边-1077639-4F,1800x1000,,D/E轴,南区,1.80,1.00,,48200.0,25750.0,A-GENM
16,X-HLP3-AR-B3-LAY-04-001,墙洞口,矩形墙洞-A - 矩形墙洞-A-1161879-4F,3500x2300(左) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,左,35000.0,1925.0,A-GENM
17,X-HLP3-AR-B3-LAY-04-001,墙洞口,矩形墙洞-A - 矩形墙洞-A-1162272-4F,3500x2300(左) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,左,15550.0,2175.0,A-GENM
18,X-HLP3-AR-B3-LAY-04-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523-1158586-4F,3500x2300(左) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,左,41350.0,3300.0,A-DOOR
19,X-HLP3-AR-B3-LAY-04-001,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523-1158586-4F,3500x2300(左) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,左,37825.0,3300.0,A-DOOR
